Name,Category 1,Nationality,Description,,
The Rolling Stones,Musique,Other,groupe de musique,,
The Weeknd,Musique,Other,chanteur,,
Tiësto,Musique,Other,DJ,,
Travis Scott,Musique,Other,rappeur,,
Tupac Shakur,Musique,Other,rappeur,,
Usher,Musique,Other,chanteur,,
Vianney,Musique,France,auteur-compositeur-interprète,,
Vitaa,Musique,France,chanteuse,,
Wolfgang Amadeus Mozart,Musique,Other,compositeur,,
Albert II de Monaco,Politique,Other,,,
Alexandre le Grand,Politique,Other,Ancien roi,,
Cléopâtre VII,Politique,Other,Reine-pharaon,,
Diana Spencer,Politique,Other,Princesse,,
Gengis Khan,Politique,Other,Fondateur de l'empire mongol,,
Vercingétorix,Politique,France,Chef tribal,,
Abraham Lincoln,Politique,Other,ex-président,,
Adolf Hitler,Politique,Other,dictateur,,
Alain Juppé,Politique,France,ancien premier ministre,,
Angela Merkel,Politique,Other,ancienne chancelière,,
Anne Hidalgo,Politique,France,Maire,,
Barak Obama,Politique,Other,ancien président,,
Bill Clinton,Politique,Other,ancien président,,
Boris Eltsine,Politique,Other,ancien président,,
Boris Johnson,Politique,Other,ancien premier ministre,,
Brigitte Macron,Politique,France,Première dame,,
Carlo Ancelotti,Sport,Other,joueur et entraineur de football,,
Catherine Middleton,Politique,Other,Princesse,,
Charles de Gaulle,Politique,France,ancien président,,
Che Guevara,Politique,Other,révolutionnaire,,
Dominique Strauss-Kahn,Politique,France,ancien ministre,,
Dominique de Villepin,Politique,France,ancien premier ministre,,
Donald Trump,Politique,Other,Président,,
Élisabeth II,Politique,Other,ancienne reine,,
Élisabeth Borne,Politique,France,ancienne première minsitre,,
Emmanuel Macron,Politique,France,Président,,
Fidel Castro,Politique,Other,ancien président,,
François Bayrou,Politique,France,Premier ministre,,
François Fillon,Politique,France,ancien premier ministre ,,
François Hollande,Politique,France,ancien président,,
François Rufin,Politique,France,député,,
Franklin Delano Roosevelt,Politique,Other,ancien président,,
Gabriel Attal,Politique,France,ancien premier ministre,,
George W. Bush,Politique,Other,ancien président,,
Georges Pompidou,Politique,France,ancien président,,
Gérald Darmanin,Politique,France,ministre,,
George Washington,Politique,Other,ancien président,,
Greta Thunberg,Politique,Other,activiste,,
Harry de Sussex,Politique,Other,Prince,,
Jack Lang,Politique,France,ancien ministre,,
Jacques Chirac,Politique,France,ancien président,,
Jean-Luc Mélenchon,Politique,France,ancien député,,
Jean-Marie Le Pen,Politique,France,fondateur du FN,,
Jeanne d'Arc,Politique,France,Héroïne et Sainte,,
Joe Biden,Politique,Other,ancien président,,
John Fitzgerald Kennedy,Politique,Other,ancien président,,
Jordan Bardella,Politique,France,député,,
Joseph Staline,Politique,Other,ancien chef de gouvernement,,
Jules César,Politique,Other,Empereur,,
Justin Trudeau,Politique,Other,ancien premier ministre,,
Kamala Harris,Politique,Other,ancienne vice présidente,,
Lionel Jospin,Politique,France,ancien premier ministre,,
Mao Zedong,Politique,Other,ancien président,,
Margaret Thatcher,Politique,Other,ancienne première minsitre,,
Marine Le Pen,Politique,France,député,,
Martin Luther King,Politique,Other,"activiste, prix Nobel de la paix",,
Meghan Markle,Politique,Other,Princesse,,
Michel Barnier,Politique,France,ancien premier ministre,,
Michelle Obama,Politique,Other,ancienne première dame,,
